DATASET_YR	REPRJ_ID	INUN_ID	ADMS	COUNSEL	SAT1_VERB_200_P	SAT1_VERB_300_P	SAT1_VERB_400_P	SAT1_VERB_500_P	SAT1_VERB_600_P	SAT1_VERB_700_P	SAT1_MATH_200_P	SAT1_MATH_300_P	SAT1_MATH_400_P	SAT1_MATH_500_P	SAT1_MATH_600_P	SAT1_MATH_700_P	ACT_1_P	ACT_2_P	ACT_3_P	ACT_4_P	ACT_5_P	ACT_6_P	SAT1_VERB_MEAN	SAT1_MATH_MEAN	ACT_MEAN	SAT1_VERB_670_800_P	SAT1_MATH_600_800_P	SUBMIT_P	SUBMIT_SAT1_P	SUBMIT_ACT_P	PLACE_ONLY	ADMS_PLACE	ADMS_COUNSEL	SAT1_VERB_25TH_P	SAT1_VERB_75TH_P	SAT1_MATH_25TH_P	SAT1_MATH_75TH_P	ACT_COMP_25TH_P	ACT_COMP_75TH_P	ACT_WRITING	SAT_NEW	SAT1_WRITING_200_P	SAT1_WRITING_300_P	SAT1_WRITING_400_P	SAT1_WRITING_500_P	SAT1_WRITING_600_P	SAT1_WRITING_700_P	SAT1_WRITING_25TH_P	SAT1_WRITING_75TH_P	SAT1_WRITING_MEAN	ESSAY_ADMIS_ACT	ESSAY_ADMIS_SAT	ESSAY_ADVISING_ACT	ESSAY_ADVISING_SAT	ESSAY_AP_SUBST_ACT	ESSAY_AP_SUBST_SAT	ESSAY_AP_VALID_ACT	ESSAY_AP_VALID_SAT	ESSAY_NO_ACT	ESSAY_NO_SAT	ESSAY_NO_POLICY_ACT	ESSAY_NO_POLICY_SAT	ESSAY_PLACE_ACT	ESSAY_PLACE_SAT	ADMS_OPTIONAL	SAT_ESSAY
2018	12	5189	Y		0.00	1.12	16.85	32.58	35.96	13.48	0.00	5.62	23.60	35.96	28.09	6.74	0.00	0.00	5.93	42.69	36.36	15.02	585	545	25				28.00	83.00				510.00	660.00	470.00	620.00	21.00	28.00	ACTB																			X	X						SATB
2018	12	5192																																																																
2018	12	5193	Y														0.00	0.00	2.80	62.10	31.50	3.60			23				7.00	93.00								20.00	25.00	ACTB																					X	X				SATB
2018	12	5194	N																																																															
2018	12	5196	N																																																															
2018	12	5200	Y		0.00	0.00	6.80	50.60	36.90	5.70	0.00	0.40	7.20	55.10	33.70	3.60	0.00	0.00	0.00	30.60	51.00	18.40	586	579	26				56.70	10.00				540.00	630.00	530.00	620.00	23.00	28.00	ACTB																					X	X			X	SATB
2018	12	5201	N																																																															
2018	12	5203	N																																																															
2018	12	5205	N																																																															
2018	12	5207	N																																																															
2018	12	5208	N																																																															
2018	12	5209			1.00	5.00	49.00	36.00	9.00	0.00	0.00	9.00	48.00	36.00	7.00	0.00	0.00	0.00	36.00	53.00	10.00	1.00	492	486	19				38.00	45.00				430.00	530.00	440.00	530.00	16.00	21.00	ACTB																			X	X					X	SATB
2018	12	5211	N																																																															
2018	12	5212	Y		0.00	1.00	41.00	51.00	7.00	0.00	0.00	6.00	45.00	46.00	3.00	0.00	0.00	0.00	24.00	61.00	15.00	0.00	509	489	20				54.00	56.00				470.00	540.00	440.00	530.00	17.00	22.00	ACTB																										
2018	12	5213	Y		0.00	1.38	29.66	56.55	12.41	0.00	0.00	1.38	31.72	52.41	13.10	1.38	0.00	0.00	17.50	63.33	19.17	0.00	526	523	21				73.00	61.00				480.00	570.00	470.00	570.00	18.00	23.00	ACTB																					X	X				SATB
2018	12	5214	N																																																															
2018	12	5216	N																																																															
2018	12	5220	Y		0.00	0.17	2.80	37.59	49.83	9.62	0.00	0.35	1.92	42.48	41.43	13.81	0.00	0.00	0.38	16.56	52.88	30.18	611	614	27				12.00	87.00				570.00	650.00	560.00	660.00	24.00	30.00	ACTB																					X	X				SATB
2018	12	5221	Y		3.85	3.85	26.92	57.69	7.69	0.00	3.85	0.00	26.92	61.53	3.85	3.85	0.00	0.00	0.00	73.90	24.69	1.42							3.80	83.60										ACTB																			X	X						SATB
2018	12	5223	Y														0.00	0.00	12.09	59.24	23.46	5.21							0.00	97.00								19.00	24.00	ACTC											X	X											X	X		SATC
2018	12	5225	N																																																															
2018	12	5226	N																																																															
2018	12	5227	Y		0.00	0.00	16.14	41.93	35.48	6.45	0.00	0.00	9.67	41.95	38.71	9.67	0.00	0.00	0.66	31.78	47.78	19.78			26				31.00	451.00				530.00	630.00	540.00	660.00	23.00	29.00	ACTB																			X	X						SATB
2018	12	5228	Y		0.00	0.00	38.50	49.00	11.50	1.00	0.00	0.00	39.60	45.80	14.60	0.00	0.00	0.00	7.00	68.00	24.00	1.00	525	516	22				8.00	94.00				480.00	570.00	470.00	560.00	19.00	24.00	ACTB																			X	X	X	X				SATB
2018	12	5229	Y		0.00	0.00	2.00	25.00	55.00	18.00	0.00	0.00	4.00	34.00	44.00	18.00	0.00	0.00	0.00	25.00	52.00	23.00	633	625	26				39.00	36.00				590.00	680.00	570.00	680.00	23.00	29.00	ACTC																	X	X							X	SATC
2018	12	5230	N																																																															
2018	12	5231	N																																																															
2018	12	5232	Y		0.00	0.00	17.00	57.00	20.00	6.00	0.00	10.00	27.00	37.00	23.00	3.00	0.00	0.00	13.00	62.00	22.00	3.00	553	527	21				2.00	91.00				513.00	605.00	473.00	598.00	19.00	24.00	ACTB																			X	X						SATB
2018	12	5235	Y		1.26	10.69	46.54	34.59	6.29	0.63	1.26	19.50	50.30	26.42	2.52	0.00	0.00	0.00	32.14	51.19	16.67	0.00	475	459	20				57.00	30.00				420.00	520.00	410.00	500.00	17.00	22.00	ACTB																			X	X					X	SATB
2018	12	5236	Y		0.00	0.00	25.00	75.00	0.00	0.00	0.00	0.00	42.00	50.00	8.00	0.00	0.00	0.00	7.00	69.00	21.00	2.00			22				7.00	94.00								19.00	23.00																											
2018	12	5237	Y														0.00	0.00	5.60	42.50	41.90	10.00							78.00	42.00				480.00	610.00	510.00	610.00	21.00	27.00	ACTB													X	X									X	X		SATB
2018	12	5238	Y		0.00	0.00	0.00	13.00	71.00	16.00	0.00	0.00	0.00	15.00	49.00	36.00	0.00	0.00	0.00	3.00	47.00	50.00			30				63.00	51.00				610.00	680.00	620.00	730.00	27.00	32.00	ACTB																					X	X				SATB
2018	12	5239	Y																										13.00	82.00								14.00	19.00																											
2018	12	5246	N																																																														X	
2018	12	5250	N																																																															
2018	12	5251	Y														0.00	0.00	4.50	47.70	43.60	4.20			23				7.00	95.00								21.00	25.00	ACTB																			X	X						SATB
2018	12	5252	Y		0.00	0.00	13.00	35.00	42.00	10.00	0.00	2.00	12.00	44.00	33.00	8.00	0.00	0.00	6.00	41.00	46.00	8.00	590	578	24				32.00	81.00				530.00	645.00	630.00	640.00	21.00	27.00	ACTB																			X			X			X	SATB
2018	12	5254	Y		0.00	0.00	7.00	58.00	31.00	4.00	0.00	0.00	13.00	62.00	23.00	2.00	0.00	0.00	2.00	56.00	36.00	6.00	589	572	23				59.00	40.00				550.00	630.00	530.00	610.00	20.00	24.00	ACTB																			X	X						SATB
2018	12	5256	N																																																															
2018	12	5261	Y																										14.70	57.70								19.00	23.00																											
2018	12	5262	Y																										50.00	50.00										ACTW																							X	X		
2018	12	5263	Y														0.00	0.00	15.00	54.00	27.00	4.00			22				61.00	34.00								17.00	26.00	ACTB																										
2018	12	5264	Y																										23.00	69.00								17.00	22.00	ACTB																			X	X						SATB
2018	12	5265	Y																										64.00	73.00				510.00	560.00	500.00	530.00	20.00	22.00																				X	X						
2018	12	5267	N																																																															
2018	12	5270	Y																										35.00	32.00																															X	X				
2018	12	5273	Y		0.00	0.00	1.00	7.00	28.00	64.00	0.00	0.00	1.00	9.00	37.00	53.00	0.00	0.00	0.00	1.00	22.00	77.00	704	690	31				50.00	62.00				660.00	760.00	650.00	740.00	30.00	33.00	ACTB											X	X														SATB
2018	12	5275	Y		0.00	4.00	53.00	39.00	3.00	1.00	0.00	17.00	55.00	26.00	2.00	0.00	0.00	1.00	28.00	63.00	7.00	1.00							64.00	36.00				410.00	440.00	500.00	520.00	17.00	20.00	ACTB																			X	X						SATB
