DATASET_YR	REPRJ_ID	INUN_ID	EXAM_CODE	STUD_I	ADMS_REQ	ADMS_REC	ADMS_RFS	PLACE_REQ	PLACE_REC	PLACE_RFS	DESCR	ADMS_CONSIDER	ADMS_NOT_USED
2018	12	5766	S1A	D			X						
2018	12	5768	S1A	D	X								
2018	12	5769	S1A	D	X								
2018	12	5780	SAT1	D									X
2018	12	5782	S1A	D	X								
2018	12	5784	S1A	D		X							
2018	12	5787	S1A	D	X								
2018	12	5788	S1A	D			X						
2018	12	5788	S1S2A	D			X						
2018	12	5789	OTHT	D	X						ACT Compass or ACT ASSET		
2018	12	5789	S1A	D		X							
2018	12	5790	ACT	D									X
2018	12	5790	S1A	D									X
2018	12	5790	S1S2A	D									X
2018	12	5790	SAT1	D									X
2018	12	5790	SAT2	D									X
2018	12	5794	OTHT	D			X				College Board exam		
2018	12	5794	SAT1	D		X							
2018	12	5795	OTHT	D	X						College Board exam		
2018	12	5795	SAT1	D		X							
2018	12	5798	S1A	D	X								
2018	12	5798	SAT2	D									X
2018	12	5800	OTHT	D			X				ACCUPLACER		
2018	12	5800	S1A	D		X							
2018	12	5802	S1A	D	X								
2018	12	5805	S1A	D		X							
2018	12	5807	S1A	D	X								
2018	12	5808	ACT	D		X							
2018	12	5812	S1A	D	X								
2018	12	5812	S1S2A	D		X							
2018	12	5813	S1A	D								X	
2018	12	5818	S1A	D	X								
2018	12	5819	ACT	D								X	
2018	12	5819	S1A	D	X								
2018	12	5819	S1S2A	D								X	
2018	12	5819	SAT1	D								X	
2018	12	5819	SAT2	D									X
2018	12	5820	S1A	D	X								
2018	12	5822	S1A	D	X								
2018	12	5823	S1A	D	X								
2018	12	5827	S1A	D	X								
2018	12	5828	S1A	D	X								
2018	12	5829	S1A	D	X								
2018	12	5830	S1S2A	D								X	
2018	12	5831	S1A	D	X								
2018	12	5832	S1A	D	X								
2018	12	5833	ACT	D			X						
2018	12	5833	S1A	D	X								
2018	12	5834	ACT	D								X	
2018	12	5834	S1A	D			X						
2018	12	5834	S1S2A	D									X
2018	12	5834	SAT1	D								X	
2018	12	5834	SAT2	D									X
2018	12	5835	S1A	D	X								
2018	12	5837	S1A	D	X								
2018	12	5843	S1A	D	X								
2018	12	5846	S1A	D								X	
2018	12	5846	SAT2	D								X	
2018	12	5851	S1A	D								X	
2018	12	5851	S1S2A	D								X	
2018	12	5852	S1A	D		X							
2018	12	5854	S1A	D	X								
2018	12	5859	ACT	D									X
2018	12	5859	OTHT	D	X						minimum ACT score of 18 or SAT of 940, top 50% of graduating class		
2018	12	5859	S1A	D								X	
2018	12	5859	S1S2A	D								X	
2018	12	5859	SAT1	D									X
2018	12	5859	SAT2	D								X	
2018	12	5862	S1A	D	X								
2018	12	5862	SAT2	D								X	
2018	12	5864	S1A	D	X								
2018	12	5866	S1A	D			X						
2018	12	5866	SAT2	D								X	
2018	12	5870	S1A	D		X							
2018	12	5871	S1A	D		X							
2018	12	5872	S1A	D		X							
2018	12	5876	S1A	D	X								
2018	12	5877	S1A	D	X								
2018	12	5877	S1S2A	D									X
2018	12	5877	SAT2	D									X
2018	12	5881	S1A	D	X								
2018	12	5885	ACT	D								X	
2018	12	5885	S1A	D								X	
2018	12	5885	S1S2A	D								X	
2018	12	5885	SAT1	D								X	
2018	12	5885	SAT2	D								X	
2018	12	5886	S1A	D	X								
2018	12	5888	S1A	D								X	
2018	12	5888	SAT2	D									X
2018	12	5889	S1A	D	X								
2018	12	5895	S1A	D	X								
2018	12	5896	S1A	D	X								
2018	12	5896	SAT2	D								X	
2018	12	5898	S1A	D	X								
